sample_id,question,answer,llm_start_entities,matched_start_nodes,answer_candidates,start_in_entity_db,answer_mappable,reachable_at_1
28,"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Wolfgang,"[""Friends"", ""Family"", ""Colleagues"", ""Group""]","[""FAMILY"", ""FRIENDS"", ""GROUP""]","[""WOLFGANG""]",1,1,0
32,Who introduced the bread delivery service and recommend Alice for the delivery?,HaileyJohnson,"[""Delivery service"", ""Recommendation system"", ""Alice (name)"", ""Bread""]","[""BREAD"", ""DELIVERY SERVICE""]","[""HAILEYJOHNSON""]",1,1,1
41,Who does LiHua want to invite to the photo exhibition and who goes with him (during August)?,Wolfgang,"[""August""]",[],"[""WOLFGANG""]",0,1,0
72,What is the name of the gym that Wolfgang recommended LiHua to go to?,FitZone,"[""Name of the gym"", ""Wolfgang"", ""LiHua"", ""Gym location"", ""Gym facilities""]","[""LI HUA"", ""LIHUA"", ""WOLFGANG""]","[""FITZONE""]",1,1,1
75,"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Wolfgang,"[""Friends"", ""Family"", ""Acquaintances"", ""Group of people"", ""Movie theater"", ""Ticket"", ""Showtime""]","[""FAMILY"", ""FRIENDS""]","[""WOLFGANG""]",1,1,0
78,Who does Li Hua plan to celebrate Chinese Lunar New Year with?,Wolfgang,"[""Family members"", ""Friends"", ""Gifts"", ""Dishes"", ""Traditions""]","[""FRIENDS""]","[""WOLFGANG""]",1,1,0
82,Who suggested Li Hua keep a clear log of all the changes requested by the client?,Wolfgang Schulz,"[""Log entries"", ""Client requests"", ""Change documentation"", ""Request history""]",[],"[""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]",0,1,0
85,What is the name of the café Wolfgang Schulz recommends to Li Hua?,The Java Spot,"[""Name of the café"", ""Recommendation"", ""Person's name"", ""Individual""]","[""RECOMMENDATION""]","[""THE JAVA SPOT""]",1,1,0
101,What is the name of the café where Li Hua and YurikoYamamoto first meeting to talk about Yuriko's website?,Central Perk,"[""Name of café"", ""Meeting location"", ""Website discussion"", ""Person names"", ""Event details""]",[],"[""CENTRAL PERK""]",0,1,0
108,Who is Li Hua meeting with to discuss homepage design updates?,Yuriko Yamamoto,"[""Person"", ""Design"", ""Discussion"", ""Details"", ""Conversation""]","[""DESIGN"", ""DISCUSSION""]","[""YURIKO YAMAMOTO"", ""YURIKOYAMAMOTO""]",1,1,1
112,Who invites Li Hua to join the community bake sale?,Adam Smith,"[""Li Hua"", ""Community"", ""Bake sale"", ""Invite"", ""Participants""]","[""BAKE SALE"", ""COMMUNITY"", ""LI HUA"", ""LIHUA""]","[""ADAM SMITH"", ""ADAMSMITH""]",1,1,1
129,Who is delivering the bread to Li Hua on 20260403?,Alice,"[""Person delivering"", ""Bread"", ""Date""]","[""BREAD""]","[""ALICE""]",1,1,1
133,What new song does the Jolly band decide to work on for the jam session according to their discussion on 20260410?,Stand By Me,"[""Song title"", ""Band members"", ""Session date"", ""Discussion topics"", ""Creative process""]","[""CREATIVE PROCESS""]","[""'STAND BY ME'"", ""STAND BY ME""]",1,1,0
138,Who proposes that the band takes a break from jamming this week?,Wolfgang Schulz,"[""Band members"", ""Jamming"", ""Proposal"", ""Week""]","[""JAMMING""]","[""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]",1,1,1
143,Who is Li Hua bringing to the band's jam session according to their discussion on 20260425?,ChaeSong-hwa,"[""Person"", ""Event"", ""Date""]",[],"[""CHAE SONG-HWA"", ""CHAESONG-HWA""]",0,1,0
148,What is the name of the Italian restaurant where Wolfgang and Li Hua are having dinner to celebrate Wolfgang's promotion?,Venedia Grancaffe,"[""Restaurant name"", ""Dinner location"", ""Event details"", ""Personal names""]",[],"[""VENEDIA GRANCAFFE""]",0,1,0
162,What does LiHua find as a perfect place to work in his conversation with Chae?,The Lighthouse Cafe,"[""Work environment"", ""Job satisfaction"", ""Workplace culture"", ""Personal preferences"", ""Communication""]","[""COMMUNICATION"", ""WORK ENVIRONMENT""]","[""THE LIGHTHOUSE CAFE""]",1,1,0
168,What is the name of the song LiHua suggests revisiting for the band's music session according to their conversation on 20260529?,The History of Everything,"[""Song title"", ""Band name"", ""Date"", ""Conversation details"", ""Revisiting""]",[],"[""THE HISTORY OF EVERYTHING""]",0,1,0
171,What is the name of Hailey Johnson's new weekly flavor cheese?,Hazelnut Basque Roasted Cheese,"[""Flavor profile"", ""Cheese type"", ""Weekly release"", ""Product name""]","[""FLAVOR PROFILE""]","[""HAZELNUT BASQUE ROASTED CHEESE""]",1,1,0
178,Who proposes adding some outdoor games or a small water feature to the children's play areain the community discussion?,Thrall,"[""Community members"", ""Playground"", ""Water features"", ""Game proposals"", ""Discussion topics""]","[""PLAYGROUND""]","[""THRALL""]",1,1,1
179,Who proposes adding picnic tables for families to enjoy some snacks after playing?,Li Hua,"[""Playground"", ""Outdoor area"", ""Table"", ""Food"", ""Family members""]","[""FOOD"", ""PLAYGROUND""]","[""LI HUA"", ""LIHUA""]",1,1,1
180,Who proposes creating a little garden area where kids can help plant flowers or vegetables?,GromHellscream,"[""Kids' participation"", ""Planting activities"", ""Flower cultivation"", ""Vegetable gardening"", ""Community engagement""]","[""COMMUNITY ENGAGEMENT""]","[""GROM HELLSCREAM"", ""GROMHELLSCREAM""]",1,1,1
194,What song does Yuriko propose that the band can practice this weekend according to the band's discussion on 20260703?,Take Me Home Country Roads by John Denver,"[""Yuriko"", ""Band"", ""Practice session"", ""20260703 date"", ""Song""]","[""BAND"", ""PRACTICE SESSION"", ""YURIKO""]",[],1,0,0
195,What is the name of the song that Yuriko recommend to the band on 20260706?,Rolling in the Deep by Adele,"[""Song name"", ""Date"", ""Recommendation""]","[""RECOMMENDATION""]",[],1,0,0
206,What is Wolfgang's favorite superhero?,Iron Man,"[""Superhero"", ""Character"", ""Favorite"", ""Wolfgang""]","[""WOLFGANG""]","[""IRON MAN""]",1,1,0
207,What is LiHua's favorite superhero?,Spider-Man,"[""Superhero"", ""Character"", ""Favorite"", ""Name"", ""Preference""]",[],"[""SPIDER-MAN""]",0,1,0
212,Who is recommended by Jennifer to share some fitness tips in the gym group chat on 20260730?,LiHua,"[""Jennifer"", ""Fitness advice"", ""Group chat"", ""Date"", ""Recommended by""]","[""FITNESS ADVICE"", ""GROUP CHAT"", ""JENNIFER""]","[""LI HUA"", ""LIHUA""]",1,1,1
225,Who offers to help with setting up for the garage sale?,AdamSmith,"[""Garage sale setup"", ""Shopping cart"", ""Decorations"", ""Items for sale"", ""Event planner""]","[""DECORATIONS""]","[""ADAM SMITH"", ""ADAMSMITH""]",1,1,0
231,Who does Li Hua mention as their favorite character from The Witcher 3?,Geralt,"[""Character name"", ""Game title"", ""Favorite""]",[],"[""GERALT""]",0,1,0
234,Which scene stood out for Li Hua in The Witcher 3?,"The ""Battle of Kaer Morhen""","[""Game scene"", ""Character development"", ""Player experience"", ""Gameplay elements""]","[""CHARACTER DEVELOPMENT"", ""PLAYER EXPERIENCE""]",[],1,0,0
241,Which upcoming PS5 exclusive game does Gavriel express curiosity about?,Ghostwire: Tokyo,"[""Game title"", ""Release date"", ""Development team"", ""Console specifics"", ""Player experience""]","[""PLAYER EXPERIENCE"", ""RELEASE DATE""]","[""GHOSTWIRE: TOKYO""]",1,1,0
244,Who shared a music theory tutorial with the group?,Chae Song-hwa,"[""Music educators"", ""Online learning"", ""Tutorial content"", ""Group members"", ""Musical concepts""]",[],"[""CHAE SONG-HWA"", ""CHAESONG-HWA""]",0,1,0
246,What is Kendall's relationship with Logan like according to the group's discussion?,Toxic,"[""Kendall"", ""Logan"", ""Discussion"", ""Relationships"", ""Social interactions""]","[""DISCUSSION"", ""KENDALL"", ""LOGAN"", ""RELATIONSHIPS""]",[],1,0,0
