sample_id,question,answer,llm_start_entities,matched_start_nodes,answer_candidates,start_in_entity_db,answer_mappable,reachable_at_5
28,"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Wolfgang,"[""Friends"", ""Family"", ""Colleagues"", ""Acquaintances"", ""Group""]","[""FAMILY"", ""FRIENDS"", ""GROUP""]","[""WOLFGANG""]",1,1,1
32,Who introduced the bread delivery service and recommend Alice for the delivery?,HaileyJohnson,"[""Delivery service"", ""Recommendation system"", ""Alice (name)"", ""Bread""]","[""BREAD"", ""DELIVERY SERVICE""]","[""HAILEYJOHNSON""]",1,1,1
41,Who does LiHua want to invite to the photo exhibition and who goes with him (during August)?,Wolfgang,"[""August"", ""LiHua"", ""Person"", ""Companions""]","[""LI HUA"", ""LIHUA""]","[""WOLFGANG""]",1,1,1
72,What is the name of the gym that Wolfgang recommended LiHua to go to?,FitZone,"[""Name"", ""Recommendation"", ""Go to""]","[""RECOMMENDATION""]","[""FITZONE""]",1,1,1
75,"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Wolfgang,"[""Friend"", ""Family member"", ""Colleague"", ""Group""]","[""GROUP""]","[""WOLFGANG""]",1,1,1
78,Who does Li Hua plan to celebrate Chinese Lunar New Year with?,Wolfgang,"[""Li Hua"", ""Friends"", ""Relatives"", ""Gifts"", ""Food""]","[""FOOD"", ""FRIENDS"", ""LI HUA"", ""LIHUA""]","[""WOLFGANG""]",1,1,1
82,Who suggested Li Hua keep a clear log of all the changes requested by the client?,Wolfgang Schulz,"[""Li Hua"", ""log"", ""changes"", ""client"", ""request""]","[""CLIENT"", ""LI HUA"", ""LIHUA""]","[""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]",1,1,1
85,What is the name of the café Wolfgang Schulz recommends to Li Hua?,The Java Spot,"[""Name"", ""Location"", ""Menu"", ""Customer"", ""Feedback""]","[""CUSTOMER"", ""FEEDBACK""]","[""THE JAVA SPOT""]",1,1,1
101,What is the name of the café where Li Hua and YurikoYamamoto first meeting to talk about Yuriko's website?,Central Perk,"[""Name of café"", ""Meeting location"", ""Discussion topic"", ""Website details"", ""People involved""]",[],"[""CENTRAL PERK""]",0,1,0
108,Who is Li Hua meeting with to discuss homepage design updates?,Yuriko Yamamoto,"[""Li Hua"", ""Homepage design"", ""Updates"", ""Discussion details""]","[""HOMEPAGE DESIGN"", ""LI HUA"", ""LIHUA""]","[""YURIKO YAMAMOTO"", ""YURIKOYAMAMOTO""]",1,1,1
112,Who invites Li Hua to join the community bake sale?,Adam Smith,"[""Li Hua"", ""Event invitation"", ""Community participation"", ""Event details"", ""Guest list""]","[""COMMUNITY PARTICIPATION"", ""LI HUA"", ""LIHUA""]","[""ADAM SMITH"", ""ADAMSMITH""]",1,1,1
129,Who is delivering the bread to Li Hua on 20260403?,Alice,"[""Bread"", ""Person delivering"", ""Date""]","[""BREAD""]","[""ALICE""]",1,1,1
133,What new song does the Jolly band decide to work on for the jam session according to their discussion on 20260410?,Stand By Me,"[""Song title"", ""Band members"", ""Session date"", ""Discussion""]","[""DISCUSSION""]","[""'STAND BY ME'"", ""STAND BY ME""]",1,1,1
138,Who proposes that the band takes a break from jamming this week?,Wolfgang Schulz,"[""Band members"", ""Jamming"", ""Proposal"", ""Week""]","[""JAMMING""]","[""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]",1,1,1
143,Who is Li Hua bringing to the band's jam session according to their discussion on 20260425?,ChaeSong-hwa,"[""Person"", ""Event"", ""Date""]",[],"[""CHAE SONG-HWA"", ""CHAESONG-HWA""]",0,1,0
148,What is the name of the Italian restaurant where Wolfgang and Li Hua are having dinner to celebrate Wolfgang's promotion?,Venedia Grancaffe,"[""Restaurant name"", ""Wolfgang"", ""Li Hua"", ""Dinner"", ""Promotion celebration""]","[""DINNER"", ""LI HUA"", ""LIHUA"", ""WOLFGANG""]","[""VENEDIA GRANCAFFE""]",1,1,1
162,What does LiHua find as a perfect place to work in his conversation with Chae?,The Lighthouse Cafe,"[""Work environment"", ""Job satisfaction"", ""Workplace culture"", ""Employment preferences"", ""Personal preferences""]","[""WORK ENVIRONMENT""]","[""THE LIGHTHOUSE CAFE""]",1,1,1
168,What is the name of the song LiHua suggests revisiting for the band's music session according to their conversation on 20260529?,The History of Everything,"[""Song name"", ""Revisiting"", ""Conversation"", ""20260529""]",[],"[""THE HISTORY OF EVERYTHING""]",0,1,0
171,What is the name of Hailey Johnson's new weekly flavor cheese?,Hazelnut Basque Roasted Cheese,"[""Flavor profile"", ""Cheese type"", ""Production method"", ""Marketing strategy"", ""Consumer preference""]","[""FLAVOR PROFILE""]","[""HAZELNUT BASQUE ROASTED CHEESE""]",1,1,1
178,Who proposes adding some outdoor games or a small water feature to the children's play areain the community discussion?,Thrall,"[""Playgrounds"", ""Sports activities"", ""Fountains"", ""Community meetings"", ""Facility additions""]","[""COMMUNITY MEETINGS""]","[""THRALL""]",1,1,1
179,Who proposes adding picnic tables for families to enjoy some snacks after playing?,Li Hua,"[""Picnic area"", ""Family enjoyment"", ""Snack distribution"", ""Playtime""]","[""PLAYTIME""]","[""LI HUA"", ""LIHUA""]",1,1,1
180,Who proposes creating a little garden area where kids can help plant flowers or vegetables?,GromHellscream,"[""Schools"", ""Parents"", ""Children"", ""Workshops"", ""Planting tools""]","[""CHILDREN"", ""PARENTS"", ""WORKSHOPS""]","[""GROM HELLSCREAM"", ""GROMHELLSCREAM""]",1,1,1
194,What song does Yuriko propose that the band can practice this weekend according to the band's discussion on 20260703?,Take Me Home Country Roads by John Denver,"[""Yuriko"", ""Band"", ""Practice schedule"", ""20260703"", ""Song""]","[""BAND"", ""YURIKO""]",[],1,0,0
195,What is the name of the song that Yuriko recommend to the band on 20260706?,Rolling in the Deep by Adele,"[""Song name"", ""Date"", ""Recommendation"", ""Yuriko's choice""]","[""RECOMMENDATION""]",[],1,0,0
206,What is Wolfgang's favorite superhero?,Iron Man,"[""Superhero"", ""Character"", ""Favorite"", ""Wolfgang""]","[""WOLFGANG""]","[""IRON MAN""]",1,1,1
207,What is LiHua's favorite superhero?,Spider-Man,"[""Superhero name"", ""Favorite character"", ""Hero identity"", ""Personal preference""]",[],"[""SPIDER-MAN""]",0,1,0
212,Who is recommended by Jennifer to share some fitness tips in the gym group chat on 20260730?,LiHua,"[""Jennifer"", ""Fitness advice"", ""Group chat"", ""Date"", ""Recommendation list""]","[""FITNESS ADVICE"", ""GROUP CHAT"", ""JENNIFER""]","[""LI HUA"", ""LIHUA""]",1,1,1
