sample_id,question,answer,llm_start_entities,matched_start_nodes,answer_candidates,start_in_entity_db,answer_mappable,reachable_at_5
28,"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Wolfgang,"[""Friends"", ""Family"", ""Colleagues"", ""Companions"", ""Group"", ""Li Hua"", ""Movie"", ""Overwatch 3"", ""Watching""]","[""FAMILY"", ""FRIENDS"", ""GROUP"", ""LI HUA"", ""LIHUA"", ""MOVIE"", ""OVERWATCH 3""]","[""WOLFGANG""]",1,1,1
32,Who introduced the bread delivery service and recommend Alice for the delivery?,HaileyJohnson,"[""Delivery service"", ""Recommendation system"", ""Alice's delivery"", ""Bread delivery service"", ""Recommendation"", ""Alice""]","[""ALICE"", ""BREAD DELIVERY SERVICE"", ""DELIVERY SERVICE"", ""RECOMMENDATION""]","[""HAILEYJOHNSON""]",1,1,1
41,Who does LiHua want to invite to the photo exhibition and who goes with him (during August)?,Wolfgang,"[""Name"", ""Event"", ""Participants"", ""Dates"", ""Company"", ""LiHua"", ""Photo exhibition"", ""Invitation"", ""Attendees"", ""August""]","[""COMPANY"", ""LI HUA"", ""LIHUA"", ""PHOTO EXHIBITION""]","[""WOLFGANG""]",1,1,1
72,What is the name of the gym that Wolfgang recommended LiHua to go to?,FitZone,"[""Name"", ""Recommendation"", ""LiHua"", ""Gym"", ""Wolfgang recommended"", ""LiHua""]","[""GYM"", ""LI HUA"", ""LIHUA"", ""RECOMMENDATION""]","[""FITZONE""]",1,1,1
75,"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Wolfgang,"[""Friends"", ""Family"", ""Accompanying"", ""Location"", ""Time"", ""Li Hua"", ""Movie 'Overwatch 3'"", ""Watching""]","[""FAMILY"", ""FRIENDS"", ""LI HUA"", ""LIHUA"", ""TIME""]","[""WOLFGANG""]",1,1,1
78,Who does Li Hua plan to celebrate Chinese Lunar New Year with?,Wolfgang,"[""Family members"", ""Friends"", ""Gifts"", ""Cultural traditions"", ""Date"", ""Li Hua"", ""Chinese Lunar New Year"", ""Celebration""]","[""CELEBRATION"", ""CHINESE LUNAR NEW YEAR"", ""FRIENDS"", ""LI HUA"", ""LIHUA""]","[""WOLFGANG""]",1,1,1
82,Who suggested Li Hua keep a clear log of all the changes requested by the client?,Wolfgang Schulz,"[""Request tracking"", ""Change documentation"", ""Client communication"", ""Log entry"", ""Li Hua"", ""Log of changes"", ""Client requests"", ""Clear log""]","[""LI HUA"", ""LIHUA""]","[""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]",1,1,1
85,What is the name of the café Wolfgang Schulz recommends to Li Hua?,The Java Spot,"[""Name"", ""Location"", ""Menu"", ""Customer"", ""Feedback"", ""Café"", ""Wolfgang Schulz"", ""Li Hua"", ""Recommendation""]","[""CAFÉ"", ""CUSTOMER"", ""FEEDBACK"", ""LI HUA"", ""LIHUA"", ""RECOMMENDATION"", ""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]","[""THE JAVA SPOT""]",1,1,1
101,What is the name of the café where Li Hua and YurikoYamamoto first meeting to talk about Yuriko's website?,Central Perk,"[""Name of café"", ""Meeting location"", ""Discussion topic"", ""Website details"", ""People involved"", ""Café"", ""First meeting"", ""Talk about website"", ""Li Hua"", ""Yuriko Yamamoto""]","[""CAFÉ"", ""LI HUA"", ""LIHUA"", ""YURIKO YAMAMOTO"", ""YURIKOYAMAMOTO""]","[""CENTRAL PERK""]",1,1,1
108,Who is Li Hua meeting with to discuss homepage design updates?,Yuriko Yamamoto,"[""Li Hua"", ""Homepage design"", ""Updates"", ""Meeting"", ""Discussion details"", ""Homepage design updates"", ""Meeting with Li Hua"", ""Discussion""]","[""DISCUSSION"", ""HOMEPAGE DESIGN"", ""LI HUA"", ""LIHUA"", ""MEETING""]","[""YURIKO YAMAMOTO"", ""YURIKOYAMAMOTO""]",1,1,1
