sample_id,question,answer,llm_start_entities,matched_start_nodes,answer_candidates,start_in_entity_db,answer_mappable,reachable_at_1
28,"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Wolfgang,"[""Friends"", ""Family"", ""Colleagues"", ""Roommate"", ""Venue"", ""Li Hua"", ""Movie"", ""Watch"", ""Company""]","[""COMPANY"", ""FAMILY"", ""FRIENDS"", ""LI HUA"", ""LIHUA"", ""MOVIE""]","[""WOLFGANG""]",1,1,1
32,Who introduced the bread delivery service and recommend Alice for the delivery?,HaileyJohnson,"[""Delivery service"", ""Recommendation system"", ""Alice (name)"", ""Bread delivery"", ""Bread delivery service"", ""Recommendation"", ""Alice""]","[""ALICE"", ""BREAD DELIVERY"", ""BREAD DELIVERY SERVICE"", ""DELIVERY SERVICE"", ""RECOMMENDATION""]","[""HAILEYJOHNSON""]",1,1,1
41,Who does LiHua want to invite to the photo exhibition and who goes with him (during August)?,Wolfgang,"[""Name"", ""Event"", ""Participants"", ""Dates"", ""Company"", ""LiHua"", ""Photo exhibition"", ""Invitation"", ""Attendees"", ""August""]","[""COMPANY"", ""LI HUA"", ""LIHUA"", ""PHOTO EXHIBITION""]","[""WOLFGANG""]",1,1,1
72,What is the name of the gym that Wolfgang recommended LiHua to go to?,FitZone,"[""Name of the gym"", ""Wolfgang"", ""LiHua"", ""Gym location"", ""Gym facilities"", ""Gym recommendation"", ""Wolfgang's recommendation"", ""LiHua's gym""]","[""LI HUA"", ""LIHUA"", ""WOLFGANG""]","[""FITZONE""]",1,1,1
75,"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Wolfgang,"[""Friends"", ""Family"", ""Colleagues"", ""Accompanying"", ""Venue"", ""Tickets"", ""Li Hua"", ""Movie"", ""Overwatch 3"", ""Watching""]","[""FAMILY"", ""FRIENDS"", ""LI HUA"", ""LIHUA"", ""MOVIE"", ""OVERWATCH 3""]","[""WOLFGANG""]",1,1,1
78,Who does Li Hua plan to celebrate Chinese Lunar New Year with?,Wolfgang,"[""Li Hua"", ""Gifts"", ""Food"", ""Candles"", ""Red envelopes"", ""Decorations"", ""Chinese Lunar New Year"", ""Celebration"", ""Family"", ""Traditions""]","[""CELEBRATION"", ""CHINESE LUNAR NEW YEAR"", ""DECORATIONS"", ""FAMILY"", ""FOOD"", ""LI HUA"", ""LIHUA""]","[""WOLFGANG""]",1,1,1
82,Who suggested Li Hua keep a clear log of all the changes requested by the client?,Wolfgang Schulz,"[""Log entries"", ""Client requests"", ""Change documentation"", ""Tracking system"", ""Li Hua"", ""Clear log"", ""Client changes"", ""Request tracking""]","[""CLIENT CHANGES"", ""LI HUA"", ""LIHUA""]","[""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]",1,1,1
85,What is the name of the café Wolfgang Schulz recommends to Li Hua?,The Java Spot,"[""Name of the café"", ""Recommendation"", ""Person's name"", ""Café recommendation"", ""Wolfgang Schulz"", ""Li Hua""]","[""LI HUA"", ""LIHUA"", ""RECOMMENDATION"", ""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]","[""THE JAVA SPOT""]",1,1,1
101,What is the name of the café where Li Hua and YurikoYamamoto first meeting to talk about Yuriko's website?,Central Perk,"[""Name of café"", ""Meeting location"", ""Discussion topic"", ""Person names"", ""Website details"", ""Café"", ""First meeting"", ""Talk about website"", ""Li Hua"", ""Yuriko Yamamoto""]","[""CAFÉ"", ""LI HUA"", ""LIHUA"", ""YURIKO YAMAMOTO"", ""YURIKOYAMAMOTO""]","[""CENTRAL PERK""]",1,1,1
108,Who is Li Hua meeting with to discuss homepage design updates?,Yuriko Yamamoto,"[""Person"", ""Design"", ""Updates"", ""Participants"", ""Conversation"", ""Li Hua"", ""Homepage design updates"", ""Meeting"", ""Discussion""]","[""DESIGN"", ""DISCUSSION"", ""LI HUA"", ""LIHUA"", ""MEETING""]","[""YURIKO YAMAMOTO"", ""YURIKOYAMAMOTO""]",1,1,1
112,Who invites Li Hua to join the community bake sale?,Adam Smith,"[""Li Hua"", ""Community"", ""Bake sale"", ""Invite"", ""Participants"", ""Community bake sale"", ""Invitations"", ""Social events""]","[""BAKE SALE"", ""COMMUNITY"", ""COMMUNITY BAKE SALE"", ""LI HUA"", ""LIHUA""]","[""ADAM SMITH"", ""ADAMSMITH""]",1,1,1
129,Who is delivering the bread to Li Hua on 20260403?,Alice,"[""Person delivering"", ""Bread"", ""Date"", ""Delivery of bread"", ""Li Hua"", ""Date 20260403""]","[""BREAD"", ""DELIVERY OF BREAD"", ""LI HUA"", ""LIHUA""]","[""ALICE""]",1,1,1
133,What new song does the Jolly band decide to work on for the jam session according to their discussion on 20260410?,Stand By Me,"[""Song title"", ""Band members"", ""Session date"", ""Discussion details"", ""New song"", ""Jolly band"", ""Jam session"", ""20260410""]","[""JAM SESSION"", ""JOLLY BAND"", ""NEW SONG""]","[""'STAND BY ME'"", ""STAND BY ME""]",1,1,1
138,Who proposes that the band takes a break from jamming this week?,Wolfgang Schulz,"[""Band members"", ""Jamming"", ""Proposals"", ""Week"", ""Band"", ""Break from jamming"", ""Proposes""]","[""BAND"", ""BREAK FROM JAMMING"", ""JAMMING""]","[""WOLFGANG SCHULZ"", ""WOLFGANGSCHULZ""]",1,1,1
143,Who is Li Hua bringing to the band's jam session according to their discussion on 20260425?,ChaeSong-hwa,"[""Band members"", ""Participants"", ""Date"", ""Discussion"", ""Li Hua"", ""Band's jam session"", ""20260425 discussion""]","[""DISCUSSION"", ""LI HUA"", ""LIHUA""]","[""CHAE SONG-HWA"", ""CHAESONG-HWA""]",1,1,1
148,What is the name of the Italian restaurant where Wolfgang and Li Hua are having dinner to celebrate Wolfgang's promotion?,Venedia Grancaffe,"[""Restaurant name"", ""Wolfgang"", ""Li Hua"", ""Dining experience"", ""Promotion announcement"", ""Italian restaurant"", ""Wolfgang's promotion"", ""Dinner celebration""]","[""DINNER CELEBRATION"", ""ITALIAN RESTAURANT"", ""LI HUA"", ""LIHUA"", ""WOLFGANG""]","[""VENEDIA GRANCAFFE""]",1,1,1
162,What does LiHua find as a perfect place to work in his conversation with Chae?,The Lighthouse Cafe,"[""Work environment"", ""Job satisfaction"", ""Workplace culture"", ""Employer reputation"", ""Salary"", ""LiHua"", ""Chae"", ""Perfect place to work"", ""Conversation""]","[""CHAE"", ""LI HUA"", ""LIHUA"", ""WORK ENVIRONMENT""]","[""THE LIGHTHOUSE CAFE""]",1,1,1
168,What is the name of the song LiHua suggests revisiting for the band's music session according to their conversation on 20260529?,The History of Everything,"[""Song title"", ""Conversation"", ""Date"", ""Band members"", ""Revisiting"", ""Song"", ""LiHua"", ""Music session"", ""Band"", ""20260529""]","[""BAND"", ""LI HUA"", ""LIHUA"", ""MUSIC SESSION""]","[""THE HISTORY OF EVERYTHING""]",1,1,1
171,What is the name of Hailey Johnson's new weekly flavor cheese?,Hazelnut Basque Roasted Cheese,"[""Flavor profile"", ""Cheese type"", ""Weekly release"", ""Product name"", ""Hailey Johnson"", ""Weekly flavor cheese"", ""Cheese name""]","[""FLAVOR PROFILE"", ""HAILEYJOHNSON""]","[""HAZELNUT BASQUE ROASTED CHEESE""]",1,1,1
178,Who proposes adding some outdoor games or a small water feature to the children's play areain the community discussion?,Thrall,"[""Playgrounds"", ""Sports activities"", ""Community meetings"", ""Water elements"", ""Facility additions"", ""Outdoor games"", ""Community discussion"", ""Children's play area"", ""Water feature""]","[""CHILDREN'S PLAY AREA"", ""COMMUNITY DISCUSSION"", ""COMMUNITY MEETINGS"", ""OUTDOOR GAMES"", ""WATER FEATURE""]","[""THRALL""]",1,1,1
179,Who proposes adding picnic tables for families to enjoy some snacks after playing?,Li Hua,"[""Table proposals"", ""Family enjoyment"", ""Snack distribution"", ""Playtime"", ""Picnic tables"", ""Families"", ""Snacks"", ""After playing""]","[""FAMILIES"", ""PICNIC TABLES"", ""PLAYTIME"", ""SNACKS""]","[""LI HUA"", ""LIHUA""]",1,1,1
